,title,rating,review_num,locations
239,Black Iron Burger,4.0,660,MidtownWest
240,The Thirsty Koala,4.0,893,Tompkinsville
241,Toloache 50,4.0,1611,Astoria
242,Libertador,4.0,183,TheaterDistrict
243,Tartinery Hudson Eats,4.0,347,CobbleHill
244,Talde,3.5,1009,BatteryPark
245,Varrio 408,4.5,299,SouthSlope
246,Maison Premiere,4.0,1016,ParkSlope
247,Alta,4.0,1698,Williamsburg-SouthSide
248,Denizen,4.5,90,GreenwichVillage
249,Excuse My French,4.5,209,Williamsburg-NorthSide
250,La Esquina,3.5,1817,LowerEastSide
251,Henrys End,4.0,315,SoHo
252,Jacksons Eatery | Bar,4.0,143,BrooklynHeights
253,SoleLuna Restaurant,4.5,300,HuntersPoint
254,Barbalu Restaurant,4.0,218,Sunnyside
255,The Halal Guys,4.5,8867,SouthStreetSeaport
256,The Wild Son,4.5,307,TheaterDistrict
257,La Slowteria,4.0,191,MeatpackingDistrict
258,Chicha,4.5,20,CarrollGardens
259,Sakagura,4.0,1622,EastWilliamsburg
260,The Green Table,4.0,527,MidtownEast
261,Silver Factory,5.0,76,MeatpackingDistrict
262,Benemon,4.5,387,Williamsburg-SouthSide
263,Xian Famous Foods,4.0,1357,EastVillage
264,HandCraft Kitchen & Cocktails,4.0,261,MidtownWest
265,Daniel,4.5,1396,KipsBay
266,Hello Bklyn,4.0,231,UpperEastSide
267,Rabbithole Restaurant,4.0,703,EastWilliamsburg
268,Sarabeths,3.5,1551,Williamsburg-SouthSide
269,Tenichi Ramen Cobble Hill,4.5,9,MidtownWest
270,Palo Santo,4.0,443,Tompkinsville
271,LIC Market,4.0,693,ParkSlope
272,Pylos,4.5,1026,LongIslandCity
273,Buvette,4.0,1465,EastVillage
274,Maialino,4.0,1240,WestVillage
275,Hole in the Wall,4.0,306,Gramercy
276,Atomix,5.0,11,FinancialDistrict
277,Lupa,4.0,1370,MidtownEast
278,Slane,4.0,431,GreenwichVillage
279,Coppelia,4.0,1102,KipsBay
280,5ive Spice,4.0,443,Chelsea
281,Le Bernardin,4.5,2159,ParkSlope
282,North River Lobster Co,3.5,458,TheaterDistrict
283,BLACKBARN,4.0,404,Flatiron
284,Celestine,4.0,79,DUMBO
285,Cafeteria,3.5,2980,Chelsea
286,Totto Ramen,4.0,4880,TheaterDistrict
287,The Highwater,4.5,132,Astoria
288,La Parisienne,4.5,128,FinancialDistrict
289,La Vara,4.0,307,CobbleHill
290,Pilar Cuban Eatery,4.0,220,BedfordStuyvesant
291,Gastroteca,4.0,701,Astoria
292,Macao,4.0,665,TriBeCa
293,AlMar,4.0,335,DUMBO
294,Peaches,3.5,904,BedfordStuyvesant
295,Nish Nush,4.5,610,TriBeCa
296,Da Andrea,4.0,671,GreenwichVillage
297,Mercato,4.0,725,MidtownWest
298,Trinity Place,4.0,297,FinancialDistrict
299,Glasserie,4.0,295,Greenpoint
300,Shuka,4.5,172,Tompkinsville
301,1803,4.5,110,SouthVillage
302,BoCaphe,4.0,775,TriBeCa
303,Two Hands Restaurant & Bar,3.5,236,SoHo
304,Omakasa,4.0,61,TriBeCa
305,BeeHive Oven Biscuit Cafe,4.5,667,MidtownWest
306,Fette Sau,4.0,2132,Williamsburg-SouthSide
307,Roccos Tacos & Tequila Bar,3.5,1026,Williamsburg-NorthSide
308,Purbird,4.0,431,DowntownBrooklyn
309,Las Ramblas,4.0,659,ProspectHeights
310,Gallitos Kitchen,4.0,240,WestVillage
311,Barn Joo 35,4.5,998,BrooklynHeights
312,Manhattan Proper,4.0,249,MidtownWest
313,Noodle Village,4.0,813,CivicCenter
314,Hourglass Tavern,4.0,658,Chinatown
315,Nerai,4.5,389,MidtownWest
316,Piacere,4.0,617,MidtownEast
317,Burke & Wills,4.0,361,LittleItaly
318,Kori Tribeca,4.0,443,UpperWestSide
319,CUPER,4.0,41,TriBeCa
320,Brooklyn Beet Company,4.5,374,DUMBO
321,Lillys Craft and Kitchen,4.0,493,BayRidge
322,White Horse Tavern - Financial District,4.0,275,MidtownWest
323,Riverpark,4.0,696,FinancialDistrict
324,La Shuk,4.5,283,KipsBay
325,El Mate,4.5,225,EastHarlem
326,Dark Horse,4.0,368,CarrollGardens
327,Employees Only,4.0,1318,CivicCenter
328,Schilling,4.5,109,WestVillage
329,Sofreh,3.5,5,FinancialDistrict
330,Blue Ribbon Brasserie - Brooklyn,4.0,510,Tompkinsville
331,Lure Fishbar - New York,4.0,1473,ParkSlope
332,Rider,4.0,131,SoHo
333,The Boil,4.0,537,Williamsburg-NorthSide
334,Hendriks,4.0,313,GreenwichVillage
335,La Cigogne,4.0,306,MurrayHill
336,Gardenia,4.0,182,CarrollGardens
337,Coopers Craft & Kitchen,4.0,329,WestVillage
338,Wallflower,4.0,224,Chelsea
339,Spoon Table & Bar,4.0,243,WestVillage
340,El Almacen,4.0,595,MurrayHill
341,LAppart,5.0,75,Williamsburg-NorthSide
342,Iris Cafe Store 9,4.0,378,BatteryPark
343,Malatesta Trattoria,4.0,1126,BrooklynHeights
344,Noodle Pudding,4.0,508,WestVillage
345,Slow Loris,4.5,36,BrooklynHeights
346,Khe-Yo,4.0,591,ProspectLeffertsGardens
347,Wanpaku,4.5,21,TriBeCa
348,China Blue,4.0,502,Greenpoint
349,Seed,4.5,160,TriBeCa
350,Go! Go! Curry!,4.0,1322,ParkSlope
351,Naya,4.5,93,MidtownWest
352,Adriennes Pizzabar,4.0,1420,FinancialDistrict
353,The Marshal,4.0,654,Hell'sKitchen
354,June,4.0,148,CobbleHill
355,Peter Luger,4.0,4724,Williamsburg-SouthSide
356,Menya Jiro- Brooklyn,4.0,42,DowntownBrooklyn
357,Raclette,4.0,940,EastVillage
358,Ampersand,4.5,160,Gramercy
359,Clover Club,4.0,684,CobbleHill
360,Bao Bao Cafe,4.0,366,Tompkinsville
361,Foxy Johns Bar & Kitchen,4.0,221,Flatiron
362,Dorlans Tavern & Oyster Bar,3.5,163,MidtownEast
363,Momofuku Ko,4.5,223,SouthStreetSeaport
364,Market Table,4.0,742,EastVillage
365,Trad Room,4.0,4,WestVillage
366,Infamous Chicken,3.5,19,BedfordStuyvesant
367,Colonie,4.0,517,ManhattanValley
368,North End Grill,4.0,373,BrooklynHeights
369,BKW By Brooklyn Winery,4.5,106,BatteryPark
370,Carroll Place,4.0,821,CrownHeights
371,The Greek Kitchen,4.0,407,GreenwichVillage
372,983-Bushwicks Living Room,4.0,342,Hell'sKitchen
373,The Food Sermon Kitchen,4.5,209,EastWilliamsburg
374,Wok Wok,4.0,550,CrownHeights
375,Kavala Estiatorio,4.5,209,Chinatown
376,Brooklyn Crab,3.0,847,HuntersPoint
377,Ducks Eatery,4.0,548,RedHook
378,Cafe Rue Dix,4.0,286,EastVillage
379,Drunken Munkey Upper East,4.5,728,CrownHeights
380,GunBae,4.0,174,Yorkville
381,Clinton Hall,4.0,466,TriBeCa
382,Amali,4.0,325,FinancialDistrict
383,Sumners Luncheonette,3.5,6,UpperEastSide
384,Shinshi Ramen,4.5,13,WindsorTerrace
385,OTB,4.5,104,MidtownEast
386,Father Knows Best,4.5,166,Williamsburg-SouthSide
387,Cheeky Sandwiches,4.5,1034,Bushwick
388,Dim Sum Palace,4.0,705,Chinatown
389,Tinys & the Bar Upstairs,4.0,475,MidtownWest
390,Five Senses,4.0,1007,Tompkinsville
391,Olea,4.0,765,Koreatown
392,Maison Pickle,4.0,512,FortGreene
393,Catfish,4.0,595,UpperWestSide
394,99 Favor Taste,4.0,1401,CrownHeights
395,Veronicas Kitchen,4.0,147,LowerEastSide
396,Lido,4.0,827,FinancialDistrict
397,Tavern on Jane,4.0,376,Harlem
398,Nano Ecuadorian Kitchen,4.5,435,WestVillage
399,Olmsted,4.0,236,Hell'sKitchen
400,La Lanterna Di Vittorio,4.0,1311,ProspectHeights
401,The Black Derby,4.5,101,GreenwichVillage
