,title,rating,review_num,price
197,Burger & Lobster,4.5,803,$$ - $$$
198,Sweet Chick,4.5,288,$$ - $$$
199,By CHLOE.,4.5,363,$$ - $$$
200,Westway Diner,4.5,1613,$
201,Marc Forgione,4.5,338,$$$$
202,Piacere,4.5,282,$$ - $$$
203,The Halal Guys,4.5,2101,$
204,Momofuku Noodle Bar,4.5,1244,$$ - $$$
205,Scarpetta,4.5,731,$$$$
206,Perry St,4.5,338,$$$$
207,Pearl Oyster Bar,4.5,493,$$ - $$$
208,Westville Hudson,4.5,157,$$ - $$$
209,Hudson Eats,4.5,168,$$ - $$$
210,Queen Italian Restaurant,4.5,293,$$ - $$$
211,Buenos Aires,4.5,282,$$ - $$$
212,Sea Fire Grill,4.5,910,$$$$
213,Red Farm,4.5,533,$$ - $$$
214,Angelas Sandwich Shop,4.5,224,$
215,Lukes Lobster- Upper East Side,4.5,148,$$ - $$$
216,Forno Rosso Pizzeria,4.5,168,$$ - $$$
217,Barney Greengrass,4.5,468,$$ - $$$
218,Coppelia,4.5,328,$$ - $$$
219,Da Andrea Ristorante,4.5,276,$$ - $$$
220,Prince Street Pizza,4.5,285,$
221,Saigon Shack,4.5,210,$
222,Palma,4.5,377,$$ - $$$
223,Island Burgers and Shakes,4.5,466,$$ - $$$
224,Prune,4.5,407,$$ - $$$
225,Henrys End Restaurant,4.5,196,$$ - $$$
226,Pommes Frites,4.5,344,$
227,Carraghers Pub & Restaurant,4.5,336,$$ - $$$
228,Rainbow Room,4.5,558,$$$$
229,Morton Williams - 57th St,4.5,229,$
230,Black Tap,4.5,581,$$ - $$$
231,12 Chairs,4.5,186,$$ - $$$
232,Caracas Arepa Bar,4.5,308,$
233,Tamarind - Tribeca,4.5,610,$$$$
234,Uncle Pauls Pizza,4.5,580,$
235,Bond Street,4.5,320,$$$$
236,The Bluebell Cafe,4.5,188,$$ - $$$
237,Taboon,4.5,338,$$ - $$$
238,Chalk Point Kitchen,4.5,449,$$ - $$$
239,Trattoria Pesce Pasta,4.5,164,$$ - $$$
240,Churrascaria Plataforma,4.5,1354,$$$$
241,Olea,4.5,139,$$ - $$$
242,Eataly,4.5,11350,$$ - $$$
243,Bar SixtyFive,4.5,708,$$$$
244,La Lanterna di Vittorio,4.5,314,$$ - $$$
245,Flex Mussels,4.5,294,$$ - $$$
246,Raouls,4.5,336,$$$$
247,Artichoke Pizza,4.5,645,$
248,Hillstone Midtown,4.5,382,$$ - $$$
249,The Perfect Pint Public House,4.5,202,$$ - $$$
250,OHaras Restaurant and Pub,4.5,1052,$$ - $$$
251,Carmines Italian Restaurant - Upper West Side,4.5,1575,$$ - $$$
252,Little Italy Gourmet Pizza,4.5,319,$
253,Bareburger,4.5,333,$$ - $$$
254,Sushi Yasaka,4.5,222,$$ - $$$
255,Employees Only,4.5,377,$$ - $$$
256,Dutch Freds,4.5,150,$$ - $$$
257,Crispo,4.5,401,$$ - $$$
258,Candle 79,4.5,941,$$ - $$$
259,Sweet Chick,4.5,238,$$ - $$$
260,Red Hook Lobster Pound,4.5,169,$$ - $$$
261,Sunac Natural Food,4.5,146,$
262,Del Friscos Double Eagle Steak House,4.5,2974,$$$$
263,Toscana 49,4.5,387,$$ - $$$
264,Zuckers Bagels Grand Central,4.5,209,$
265,Boulud Sud,4.5,810,$$$$
266,Beauty & Essex,4.5,1912,$$$$
267,Luzzos,4.5,323,$$ - $$$
268,Pauls Da Burger Joint,4.5,223,$
269,Pure & Fresh,4.5,211,$
270,Fish Restaurant and Oyster Bar,4.5,258,$$ - $$$
271,Via Brasil Restaurant,4.5,391,$$ - $$$
272,2 Bros Pizza,4.5,162,$
273,The Meatball Shop,4.5,309,$$ - $$$
274,The NoMad Restaurant,4.5,898,$$$$
275,Clinton St. Baking Company & Restaurant,4.5,1259,$$ - $$$
276,5 Napkin Burger,4.5,3584,$$ - $$$
277,Two Hands,4.5,254,$$ - $$$
278,Eisenbergs Sandwich Shop,4.5,481,$
279,Sweetgreen,4.5,205,$
280,The Meatball Shop,4.5,960,$$ - $$$
281,La Pulperia,4.5,210,$$ - $$$
282,The Leopard at des Artistes,4.5,260,$$$$
283,Upland,4.5,483,$$ - $$$
284,Pepolino,4.5,566,$$ - $$$
285,The Perfect Pint,4.5,1118,$$ - $$$
286,Zuckers Bagels & Smoked Fish,4.5,393,$
287,Umi Sushi,4.5,296,$$ - $$$
288,Georgios Country Grill,4.5,447,$$ - $$$
289,Blue Dog Kitchen Bar,4.5,222,$$ - $$$
290,Pepe Giallo,4.5,194,$$ - $$$
291,Bengal Tiger Indian Food,4.5,380,$$ - $$$
292,Oceana Restaurant,4.5,1029,$$$$
293,Nicks,4.5,237,$$ - $$$
294,Vezzo,4.5,954,$$ - $$$
295,Fluffys Cafe & Pizzeria,4.5,451,$
296,Andrews Coffee Shop,4.5,1455,$
297,Dean & Deluca,4.5,253,$$ - $$$
298,Capizzi,4.5,1540,$$ - $$$
299,Union Square Cafe,4.5,1197,$$$$
300,Cafe Habana,4.5,698,$
301,Avra Madison Estiatorio,4.5,210,$$$$
302,Nobu 57,4.5,1547,$$$$
303,Bread & Butter,4.5,146,$
304,ABC Kitchen,4.5,1694,$$ - $$$
305,Beer Culture,4.5,154,$$ - $$$
306,Antica Pesa,4.5,265,$$$$
307,Mables Smokehouse & Banquet Hall,4.5,175,$$ - $$$
308,2nd Avenue Deli,4.5,1006,$$ - $$$
309,Lillies Victorian Establishment,4.5,955,$$ - $$$
310,Cafe Boulud,4.5,1082,$$$$
311,Fiat Cafe,4.5,305,$$ - $$$
312,Bagel Express,4.5,172,$
313,Augustine,4.5,182,$$ - $$$
314,Table 87 Coal Oven Pizza,4.5,139,$$ - $$$
315,Beechers Handmade Cheese,4.5,244,$$ - $$$
316,Crave Fishbar,4.5,331,$$ - $$$
317,Guantanamera,4.5,518,$$ - $$$
318,aldea,4.5,294,$$$$
319,The Mermaid Inn,4.5,282,$$ - $$$
320,Whiskey Tavern,4.5,115,$$ - $$$
321,Batard,4.5,254,$$$$
